ID,Type,Level,Title,Description,Zone,Time,Camera ID,Resolved
1774762780,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 29 people detected,Zone B,2026-03-29T11:09:40.097202,4,False
1774762787,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:09:47.211953,4,False
1774762802,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone B,2026-03-29T11:10:02.294595,4,False
1774762809,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 27 people detected,Zone B,2026-03-29T11:10:09.948164,4,False
1774762816,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:10:16.739962,4,False
1774762840,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 29 people detected,Zone B,2026-03-29T11:10:40.135928,4,False
1774762846,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:10:46.924233,4,False
1774762866,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone B,2026-03-29T11:11:06.736133,4,False
1774762876,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 27 people detected,Zone B,2026-03-29T11:11:16.275850,4,False
1774762883,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:11:23.361724,4,False
1774762916,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 29 people detected,Zone B,2026-03-29T11:11:56.554081,4,False
1774762923,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:12:03.962204,4,False
1774762945,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone B,2026-03-29T11:12:25.532450,4,False
1774762951,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 27 people detected,Zone B,2026-03-29T11:12:31.431262,4,False
1774762956,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:12:36.604733,4,False
1774762980,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 29 people detected,Zone B,2026-03-29T11:13:00.631338,4,False
1774762986,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:13:06.323391,4,False
1774763000,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone B,2026-03-29T11:13:20.856345,4,False
1774763006,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 27 people detected,Zone B,2026-03-29T11:13:26.681223,4,False
1774763011,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:13:31.992914,4,False
1774763030,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 29 people detected,Zone B,2026-03-29T11:13:50.922524,4,False
1774763035,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:13:55.970035,4,False
1774763048,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone B,2026-03-29T11:14:08.737448,4,False
1774763054,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 27 people detected,Zone B,2026-03-29T11:14:14.881247,4,False
1774763059,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:14:19.995849,4,False
1774763083,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 29 people detected,Zone B,2026-03-29T11:14:43.944561,4,False
1774763089,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:14:49.538949,4,False
1774763104,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone B,2026-03-29T11:15:04.242975,4,False
1774763112,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 27 people detected,Zone B,2026-03-29T11:15:12.059322,4,False
1774763118,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:15:18.568789,4,False
1774763142,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 29 people detected,Zone B,2026-03-29T11:15:42.828006,4,False
1774763148,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:15:48.343894,4,False
1774763163,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone B,2026-03-29T11:16:03.250316,4,False
1774763171,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 27 people detected,Zone B,2026-03-29T11:16:11.013949,4,False
1774763176,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:16:16.705467,4,False
1774763199,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 29 people detected,Zone B,2026-03-29T11:16:39.484734,4,False
1774763206,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:16:46.293788,4,False
1774763221,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone B,2026-03-29T11:17:01.262269,4,False
1774763229,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 27 people detected,Zone B,2026-03-29T11:17:09.597083,4,False
1774763235,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:17:15.999873,4,False
1774763270,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 29 people detected,Zone B,2026-03-29T11:17:50.639164,4,False
1774763277,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:17:57.687434,4,False
1774763295,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone B,2026-03-29T11:18:15.049372,4,False
1774763303,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 27 people detected,Zone B,2026-03-29T11:18:23.841029,4,False
1774763309,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 27 people detected,Zone A,2026-03-29T11:18:29.308726,4,False
1774763336,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 29 people detected,Zone B,2026-03-29T11:18:56.304043,4,False
1774763343,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:19:03.576079,4,False
1774763360,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone B,2026-03-29T11:19:20.770464,4,False
1774763366,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 27 people detected,Zone B,2026-03-29T11:19:26.474523,4,False
1774763371,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:19:31.611071,4,False
1774763399,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 29 people detected,Zone B,2026-03-29T11:19:59.090840,4,False
1774763404,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone A,2026-03-29T11:20:04.378777,4,False
1774763420,overcrowding,danger,Critical Overcrowding Detected,Density level: HIGH with 26 people detected,Zone B,2026-03-29T11:20:20.961932,4,False
