Timestamp,Count,Density,Zone A,Zone B
2026-03-28 01:17:35,1,Low,0,1
2026-03-28 01:17:40,1,Low,0,1
2026-03-28 01:17:46,1,Low,0,1
2026-03-28 01:17:51,1,Low,0,1
2026-03-29 11:09:40,4,29,High,13,16
2026-03-29 11:09:45,4,22,Medium,13,9
2026-03-29 11:09:50,4,23,Medium,12,11
2026-03-29 11:09:55,4,19,Medium,8,11
2026-03-29 11:10:00,4,18,Medium,5,13
2026-03-29 11:10:05,4,20,Medium,10,10
2026-03-29 11:10:10,4,25,Medium,14,11
2026-03-29 11:10:15,4,22,Medium,13,9
2026-03-29 11:10:20,4,24,Medium,13,11
2026-03-29 11:10:25,4,21,Medium,9,12
2026-03-29 11:10:30,4,17,Medium,5,12
2026-03-29 11:10:35,4,23,Medium,11,12
2026-03-29 11:10:45,4,22,Medium,13,9
2026-03-29 11:10:50,4,23,Medium,12,11
2026-03-29 11:10:55,4,16,Medium,6,10
2026-03-29 11:11:00,4,15,Medium,5,10
2026-03-29 11:11:10,4,19,Medium,9,10
2026-03-29 11:11:15,4,21,Medium,9,12
2026-03-29 11:11:20,4,21,Medium,11,10
2026-03-29 11:11:25,4,24,Medium,14,10
2026-03-29 11:11:30,4,22,Medium,9,13
2026-03-29 11:11:35,4,21,Medium,10,11
2026-03-29 11:11:45,4,18,Medium,4,14
2026-03-29 11:11:50,4,20,Medium,11,9
2026-03-29 11:11:55,4,21,Medium,9,12
2026-03-29 11:12:00,4,20,Medium,11,9
2026-03-29 11:12:10,4,23,Medium,13,10
2026-03-29 11:12:15,4,23,Medium,11,12
2026-03-29 11:12:20,4,20,Medium,8,12
2026-03-29 11:12:25,4,20,Medium,6,14
2026-03-29 11:12:30,4,24,Medium,13,11
2026-03-29 11:12:35,4,23,Medium,14,9
2026-03-29 11:12:40,4,23,Medium,12,11
2026-03-29 11:12:45,4,18,Medium,9,9
2026-03-29 11:12:50,4,21,Medium,6,15
2026-03-29 11:12:55,4,20,Medium,11,9
2026-03-29 11:13:05,4,23,Medium,15,8
2026-03-29 11:13:10,4,23,Medium,12,11
2026-03-29 11:13:15,4,20,Medium,10,10
2026-03-29 11:13:20,4,19,Medium,5,14
2026-03-29 11:13:25,4,22,Medium,12,10
2026-03-29 11:13:30,4,25,Medium,14,11
2026-03-29 11:13:35,4,24,Medium,14,10
2026-03-29 11:13:40,4,22,Medium,7,15
2026-03-29 11:13:45,4,24,Medium,7,17
2026-03-29 11:13:50,4,25,Medium,11,14
2026-03-29 11:13:55,4,24,Medium,14,10
2026-03-29 11:14:00,4,21,Medium,10,11
2026-03-29 11:14:10,4,21,Medium,13,8
2026-03-29 11:14:15,4,29,High,13,16
2026-03-29 11:14:20,4,24,Medium,14,10
2026-03-29 11:14:25,4,23,Medium,12,11
2026-03-29 11:14:30,4,16,Medium,5,11
2026-03-29 11:14:35,4,20,Medium,6,14
2026-03-29 11:14:40,4,20,Medium,9,11
2026-03-29 11:14:45,4,19,Medium,6,13
2026-03-29 11:14:50,4,22,Medium,14,8
2026-03-29 11:14:55,4,18,Medium,8,10
2026-03-29 11:15:05,4,23,Medium,5,18
2026-03-29 11:15:10,4,20,Medium,9,11
2026-03-29 11:15:15,4,20,Medium,9,11
2026-03-29 11:15:20,4,24,Medium,15,9
2026-03-29 11:15:25,4,23,Medium,12,11
2026-03-29 11:15:30,4,18,Medium,5,13
2026-03-29 11:15:35,4,20,Medium,6,14
2026-03-29 11:15:40,4,21,Medium,12,9
2026-03-29 11:15:45,4,23,Medium,10,13
2026-03-29 11:15:50,4,23,Medium,12,11
2026-03-29 11:15:55,4,19,Medium,8,11
2026-03-29 11:16:00,4,14,Medium,5,9
2026-03-29 11:16:10,4,21,Medium,9,12
2026-03-29 11:16:15,4,27,High,15,12
2026-03-29 11:16:20,4,23,Medium,12,11
2026-03-29 11:16:25,4,19,Medium,9,10
2026-03-29 11:16:30,4,19,Medium,7,12
2026-03-29 11:16:35,4,18,Medium,10,8
2026-03-29 11:16:40,4,22,Medium,12,10
2026-03-29 11:16:45,4,21,Medium,13,8
2026-03-29 11:16:50,4,23,Medium,12,11
2026-03-29 11:16:55,4,21,Medium,8,13
2026-03-29 11:17:00,4,20,Medium,6,14
2026-03-29 11:17:05,4,19,Medium,10,9
2026-03-29 11:17:10,4,24,Medium,11,13
2026-03-29 11:17:20,4,24,Medium,13,11
2026-03-29 11:17:25,4,20,Medium,9,11
2026-03-29 11:17:30,4,21,Medium,6,15
2026-03-29 11:17:40,4,20,Medium,5,15
2026-03-29 11:17:45,4,17,Medium,9,8
2026-03-29 11:17:50,4,29,High,13,16
2026-03-29 11:17:55,4,22,Medium,13,9
2026-03-29 11:18:00,4,23,Medium,12,11
2026-03-29 11:18:05,4,19,Medium,9,10
2026-03-29 11:18:10,4,15,Medium,5,10
2026-03-29 11:18:15,4,24,Medium,8,16
2026-03-29 11:18:25,4,24,Medium,12,12
2026-03-29 11:18:30,4,22,Medium,13,9
2026-03-29 11:18:35,4,22,Medium,12,10
2026-03-29 11:18:40,4,20,Medium,8,12
2026-03-29 11:18:45,4,19,Medium,7,12
2026-03-29 11:18:50,4,20,Medium,11,9
2026-03-29 11:18:55,4,23,Medium,11,12
2026-03-29 11:19:00,4,24,Medium,14,10
2026-03-29 11:19:10,4,23,Medium,13,10
2026-03-29 11:19:15,4,20,Medium,9,11
2026-03-29 11:19:20,4,20,Medium,6,14
2026-03-29 11:19:25,4,24,Medium,13,11
